7zip 25.01-1
haskell-base16-bytestring 1.0.2.0-179
haskell-base64-bytestring 1.2.1.0-268
haskell-basement 0.0.16-4
haskell-bifunctors 5.6.2-57
haskell-bitvec 1.1.5.0-35
haskell-blaze-builder 0.4.4.1-25
haskell-blaze-html 0.9.2.0-102
haskell-blaze-markup 0.8.3.0-112
haskell-boring 0.2.2-2
haskell-bsb-http-chunked 0.0.0.4-496
haskell-byteable 0.1.1-28
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-380
haskell-case-insensitive 1.2.1.0-372
haskell-cassava 0.5.4.1-37
haskell-cborg 0.2.10.0-78
haskell-cereal 0.5.8.3-4
haskell-citeproc 0.8.1.1-76
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.6-404
haskell-commonmark 0.2.6.1-6
haskell-commonmark-extensions 0.2.5.5-47
haskell-commonmark-pandoc 0.2.2.3-37
haskell-comonad 5.0.9-120
haskell-conduit 1.3.6.1-125
haskell-conduit-extra 1.3.8-68
haskell-connection 0.3.1-238
haskell-constraints 0.14.2-77
haskell-contravariant 1.5.5-6
haskell-cookie 0.5.0-2
haskell-crypton 1.0.4-9
haskell-crypton-connection 0.4.5-18
haskell-crypton-socks 0.6.2-16
haskell-crypton-x509 1.7.7-64
haskell-crypton-x509-store 1.6.12-1
haskell-crypton-x509-system 1.6.7-136
haskell-crypton-x509-validation 1.6.14-52
haskell-cryptonite 0.30-172
haskell-data-array-byte 0.1.0.1-80
haskell-data-default 0.7.1.3-31
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-134
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-140
haskell-dec 0.0.6-2
haskell-diff 0.5-33
haskell-digest 0.0.2.1-2
haskell-distributive 0.6.2.1-410
haskell-djot 0.1.2.3-5
haskell-dlist 1.0-384
haskell-doclayout 0.5-9
haskell-doctemplates 0.11.0.1-68
haskell-easy-file 0.2.5-120
haskell-emojis 0.1.4.1-81
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-34
haskell-fgl 5.8.3.0-99
haskell-file-embed 0.0.16.0-2
haskell-foldable1-classes-compat 0.1.2-54
haskell-generically 0.1.1-87
haskell-generics-sop 0.5.1.3-5
haskell-ghc-bignum-orphans 0.1.1-4
haskell-glob 0.10.2-189
haskell-gridtables 0.1.1.0-17
haskell-haddock-library 1.11.0-175
haskell-half 0.3.3-66
haskell-hashable 1.4.7.0-17
haskell-hourglass 0.2.12-345
haskell-hpack 0.38.0-12
haskell-hslua 2.3.0-193
haskell-hslua-aeson 2.3.1.1-41
haskell-hslua-classes 2.3.1-23
haskell-hslua-core 2.3.2-27
haskell-hslua-list 1.1.4-22
haskell-hslua-marshalling 2.3.1-134
haskell-hslua-module-doclayout 1.1.1.2-13
haskell-hslua-module-path 1.1.1-95
haskell-hslua-module-system 1.1.2-47
haskell-hslua-module-text 1.1.0.1-161
haskell-hslua-module-version 1.1.1-137
haskell-hslua-module-zip 1.1.3-40
haskell-hslua-objectorientation 2.3.1-42
haskell-hslua-packaging 2.3.1-144
haskell-hslua-repl 0.1.2-140
haskell-hslua-typing 0.1.1-136
haskell-http-api-data 0.6.1-38
haskell-http-client 0.7.19-53
haskell-http-client-tls 0.3.6.4-129
